Calories_Burned,Fat_Percentage,BMI,Weight (kg),Height (m),Session_Duration (hours),Age,Avg_BPM,Experience_Level
0.27635135135135136,0.11199999999999999,0.08397953262647051,0.5755661685410569,0.7200000000000002,0.4133333333333334,0.39024390243902446,0.6530612244897962,2.0
0.35810810810810817,0.7159999999999999,0.893390304373055,0.5509166538283778,0.6600000000000001,0.3333333333333333,0.1951219512195122,0.7346938775510203,2.0
0.9290540540540542,0.7479999999999999,0.01730231576726282,0.3056539824372208,0.7000000000000002,0.49333333333333335,0.09756097560975613,0.9387755102040818,2.0
0.21959459459459457,0.872,0.3397161998206468,0.43506393467878607,0.6400000000000001,0.6333333333333333,0.878048780487805,1.0,1.0
0.6641891891891891,0.656,0.3591285540961122,0.1577568941611462,0.48,0.7333333333333334,0.39024390243902446,1.0,2.0
0.4391891891891892,0.5359999999999999,0.029540539114838893,0.1602218456324141,0.16000000000000014,0.7466666666666668,0.48780487804878053,0.16326530612244916,2.0
0.6317567567567568,0.07600000000000001,0.244764466951522,0.08011092281620708,0.6200000000000001,0.6399999999999999,0.6341463414634148,0.44897959183673475,2.0
0.3554054054054054,0.06399999999999995,0.28865326792213963,0.597750731782468,0.2599999999999998,0.7533333333333332,0.7804878048780488,0.3265306122448983,2.0
0.33716216216216216,0.7120000000000001,1.0,0.5287320905869666,0.08000000000000007,0.18,0.0,1.0,1.0
0.6270270270270271,0.82,0.0,0.31921121552919435,0.48,1.0,0.39024390243902446,1.0,2.0
0.3,0.868,0.6781663765363718,0.0862733014943769,0.56,0.9266666666666665,0.5121951219512195,0.7142857142857144,3.0
0.24932432432432433,0.616,0.0,0.0,0.7599999999999998,1.0,0.6829268292682928,0.22448979591836737,2.0
0.9472972972972975,0.16399999999999992,0.15487682650208368,0.5878909258973966,0.96,0.74,0.024390243902439046,0.5102040816326534,2.0
0.8520270270270272,0.64,0.09115366355435994,0.8306886458172855,0.45999999999999996,0.10000000000000003,0.9268292682926831,0.4285714285714288,3.0
0.10878378378378378,0.9,0.2856992140106558,0.39069480819596375,0.8199999999999998,0.4333333333333333,0.024390243902439046,0.5714285714285716,2.0
0.7479729729729729,0.24,0.06709922456084827,0.6236327222307811,0.20000000000000018,0.35333333333333333,0.2926829268292683,0.10204081632653095,2.0
0.6027027027027028,0.5559999999999999,0.4342459249881311,0.1996610691727007,0.52,0.6333333333333333,0.12195121951219517,0.4285714285714288,1.0
0.3837837837837838,0.476,0.08397953262647051,0.3857649052534278,0.54,0.12666666666666665,0.5121951219512195,0.08163265306122458,1.0
0.37162162162162166,0.66,0.47771271825710826,0.09490063164381463,0.1200000000000001,0.6666666666666667,0.878048780487805,0.16326530612244916,1.0
0.5628378378378378,0.552,0.4376219866012556,0.28346941919580965,0.020000000000000018,0.5333333333333334,0.3658536585365854,1.0,2.0
0.4243243243243244,0.664,0.367990715830564,1.0,0.41999999999999993,0.5133333333333334,0.1951219512195122,0.3265306122448983,1.0
0.10135135135135137,0.30000000000000004,0.24940655166956804,0.769064859035588,0.0,0.6266666666666667,0.09756097560975613,0.7346938775510203,3.0
0.9493243243243243,0.876,0.5600042200770164,0.2982591280234171,0.56,0.5866666666666667,0.43902439024390244,0.20408163265306145,1.0
0.3168918918918919,0.48,0.2426544284433192,1.0,0.0,0.5800000000000001,0.0,0.5102040816326534,1.0
0.39527027027027034,0.676,0.12280424117740152,0.21198582652904024,0.6400000000000001,0.4333333333333333,0.17073170731707316,0.40816326530612246,2.0
0.3074324324324324,0.7559999999999999,0.19201350424645258,0.39192728393159765,0.0,0.96,1.0,0.6530612244897962,1.0
0.5006756756756756,0.9400000000000001,0.5110513266867122,0.8923124325989833,0.41999999999999993,0.7066666666666668,0.0,0.9183673469387754,2.0
0.6506756756756757,0.656,0.2308382127973836,0.0,0.43999999999999995,0.6733333333333333,0.0,0.7142857142857144,2.0
1.0,0.4,0.34900036925673894,0.299491603759051,0.2999999999999998,0.52,0.17073170731707316,1.0,3.0
0.5317567567567567,0.2759999999999999,0.22619612807933753,0.3993221383454015,0.48,0.5999999999999999,0.34146341463414637,0.14285714285714324,1.0
0.377027027027027,0.888,0.2654428443319091,0.2760745647820059,0.1200000000000001,1.0,0.2439024390243903,0.4285714285714288,1.0
0.4290540540540541,0.672,0.23632431291871092,0.47573563395470647,0.2999999999999998,0.74,0.21951219512195125,0.14285714285714324,1.0
0.42364864864864865,0.476,0.6507358759297358,0.06162378678169772,0.06000000000000005,0.1333333333333333,0.6341463414634148,0.7755102040816326,1.0
